route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
23925,2,4825667,TEX MED TC,,1,634516,176115,1,1
23925,2,4825668,TEX MED TC,,1,634513,176115,1,1
23925,2,4825669,TEX MED TC,,1,634514,176115,1,1
23925,2,4825670,TEX MED TC,,1,634515,176115,1,1
23925,2,4825671,TEX MED TC,,1,634516,176115,1,1
23925,2,4825672,TEX MED TC,,1,634513,176115,1,1
23925,2,4825673,TEX MED TC,,1,634514,176115,1,1
23925,2,4825674,TEX MED TC,,1,634515,176115,1,1
23925,2,4825675,TEX MED TC,,1,634516,176115,1,1
23925,2,4825676,TEX MED TC,,1,634513,176115,1,1
23925,2,4825677,TEX MED TC,,1,634514,176115,1,1
23925,2,4825678,TEX MED TC,,1,634515,176115,1,1
23925,2,4825679,TEX MED TC,,1,634516,176115,1,1
23925,2,4825680,TEX MED TC,,1,634513,176115,1,1
23925,2,4825681,TEX MED TC,,1,634514,176115,1,1
23925,2,4825682,TEX MED TC,,1,634515,176115,1,1
23925,2,4825683,TEX MED TC,,1,634516,176115,1,1
23925,2,4825684,TEX MED TC,,1,634513,176115,1,1
23925,2,4825685,TEX MED TC,,1,634514,176115,1,1
23925,2,4825686,TEX MED TC,,1,634515,176115,1,1
23925,2,4825687,TEX MED TC,,1,634516,176115,1,1
23925,2,4825688,TEX MED TC,,1,634513,176115,1,1
23925,2,4825689,TEX MED TC,,1,634514,176115,1,1
23925,2,4825690,TEX MED TC,,1,634515,176115,1,1
23925,2,4825691,TEX MED TC,,1,634516,176115,1,1
23925,2,4825692,TEX MED TC,,1,634513,176115,1,1
23925,2,4825693,TEX MED TC,,1,634514,176115,1,1
23925,2,4825694,TEX MED TC,,1,634515,176115,1,1
23925,2,4825695,TEX MED TC,,1,634516,176115,1,1
23926,2,4825978,KASHMERE,,0,634546,176119,1,1
23926,2,4825979,KASHMERE,,0,634547,176118,1,1
23926,2,4825980,KASHMERE,,0,634548,176119,1,1
23926,2,4825981,KASHMERE,,0,634546,176118,1,1
23926,2,4825982,KASHMERE,,0,634549,176119,1,1
23926,2,4825983,KASHMERE,,0,634550,176118,1,1
23926,2,4825984,KASHMERE,,0,634547,176119,1,1
23926,2,4825985,KASHMERE,,0,634551,176118,1,1
23926,2,4825986,KASHMERE,,0,634552,176117,1,1
23926,2,4825987,KASHMERE,,0,634548,176116,1,1
23926,2,4825988,KASHMERE,,0,634546,176117,1,1
23926,2,4825989,KASHMERE,,0,634549,176116,1,1
23926,2,4825990,KASHMERE,,0,634550,176117,1,1
23926,2,4825991,KASHMERE,,0,634547,176116,1,1
23926,2,4825992,KASHMERE,,0,634551,176117,1,1
23926,2,4825993,KASHMERE,,0,634552,176116,1,1
23926,2,4825994,KASHMERE,,0,634553,176117,1,1
23926,2,4825995,KASHMERE,,0,634546,176116,1,1
23926,2,4825996,KASHMERE,,0,634549,176117,1,1
23926,2,4825997,KASHMERE,,0,634550,176116,1,1
23926,2,4826010,KASHMERE,,0,634547,176117,1,1
23926,2,4825998,KASHMERE,,0,634551,176116,1,1
23926,2,4825999,KASHMERE,,0,634552,176117,1,1
23926,2,4826000,KASHMERE,,0,634553,176116,1,1
23926,2,4826001,KASHMERE,,0,634546,176117,1,1
23926,2,4826002,KASHMERE,,0,634549,176116,1,1
23926,2,4826003,KASHMERE,,0,634550,176117,1,1
23926,2,4826004,KASHMERE,,0,634547,176116,1,1
23926,2,4826005,KASHMERE,,0,634551,176117,1,1
23926,2,4826006,KASHMERE,,0,634552,176116,1,1
23926,2,4826007,KASHMERE,,0,634553,176117,1,1
23926,2,4826008,KASHMERE,,0,634546,176116,1,1
23926,2,4826009,KASHMERE,,0,634550,176116,1,1
23926,2,4826011,SOUTHMORE/BELLFORT,,1,634547,176122,1,1
23926,2,4826013,SOUTHMORE/GULFGATE TC,,1,634548,176123,1,1
23926,2,4826014,SOUTHMORE/BELLFORT,,1,634546,176122,1,1
23926,2,4826015,SOUTHMORE/BELLFORT,,1,634550,176122,1,1
23926,2,4826016,SOUTHMORE/GULFGATE TC,,1,634547,176123,1,1
23926,2,4826017,SOUTHMORE/BELLFORT,,1,634551,176122,1,1
23926,2,4826018,SOUTHMORE/GULFGATE TC,,1,634552,176123,1,1
23926,2,4826019,SOUTHMORE/BELLFORT,,1,634548,176122,1,1
23926,2,4826020,SOUTHMORE/GULFGATE TC,,1,634546,176123,1,1
23926,2,4826021,SOUTHMORE/BELLFORT,,1,634549,176122,1,1
23926,2,4826022,SOUTHMORE/GULFGATE TC,,1,634550,176123,1,1
23926,2,4826023,SOUTHMORE/BELLFORT,,1,634547,176122,1,1
23926,2,4826024,SOUTHMORE/GULFGATE TC,,1,634551,176123,1,1
23926,2,4826025,SOUTHMORE/BELLFORT,,1,634552,176120,1,1
23926,2,4826026,SOUTHMORE/GULFGATE TC,,1,634548,176121,1,1
23926,2,4826027,SOUTHMORE/BELLFORT,,1,634546,176120,1,1
23926,2,4826028,SOUTHMORE/GULFGATE TC,,1,634549,176121,1,1
23926,2,4826029,SOUTHMORE/BELLFORT,,1,634550,176120,1,1
23926,2,4826030,SOUTHMORE/GULFGATE TC,,1,634547,176121,1,1
23926,2,4826031,SOUTHMORE/BELLFORT,,1,634551,176120,1,1
23926,2,4826032,SOUTHMORE/GULFGATE TC,,1,634552,176121,1,1
23926,2,4826033,SOUTHMORE/BELLFORT,,1,634553,176120,1,1
23926,2,4826034,SOUTHMORE/GULFGATE TC,,1,634546,176121,1,1
23926,2,4826035,SOUTHMORE/BELLFORT,,1,634549,176120,1,1
23926,2,4826036,SOUTHMORE/GULFGATE TC,,1,634550,176121,1,1
23926,2,4826037,SOUTHMORE/BELLFORT,,1,634547,176120,1,1
23926,2,4826038,SOUTHMORE/GULFGATE TC,,1,634551,176121,1,1
23926,2,4826039,SOUTHMORE/BELLFORT,,1,634552,176120,1,1
23926,2,4826040,SOUTHMORE/GULFGATE TC,,1,634553,176121,1,1
23926,2,4826041,SOUTHMORE/BELLFORT,,1,634546,176120,1,1
23926,2,4826042,SOUTHMORE/BELLFORT,,1,634550,176120,1,1
23926,2,4826043,SOUTHMORE/BELLFORT,,1,634551,176120,1,1
23926,2,4826012,SOUTHMORE/BELLFORT,,1,634553,176120,1,1
23927,2,4826292,DOWNTOWN /VIA TIDWELL TC,,0,634594,176127,1,1
23927,2,4826325,DOWNTOWN,,0,634597,176131,1,1
23927,2,4826293,DOWNTOWN /VIA TIDWELL TC,,0,634595,176127,1,1
23927,2,4826296,DOWNTOWN,,0,634594,176131,1,1
23927,2,4826294,DOWNTOWN /VIA TIDWELL TC,,0,634596,176127,1,1
23927,2,4826295,DOWNTOWN,,0,634595,176131,1,1
23927,2,4826297,DOWNTOWN /VIA TIDWELL TC,,0,634597,176127,1,1
23927,2,4826298,DOWNTOWN,,0,634596,176131,1,1
23927,2,4826321,DOWNTOWN /VIA TIDWELL TC,,0,634594,176127,1,1
23927,2,4826299,DOWNTOWN,,0,634597,176131,1,1
23927,2,4826302,DOWNTOWN /VIA TIDWELL TC,,0,634595,176127,1,1
23927,2,4826300,DOWNTOWN,,0,634594,176131,1,1
23927,2,4826303,DOWNTOWN /VIA TIDWELL TC,,0,634596,176127,1,1
23927,2,4826301,DOWNTOWN,,0,634595,176131,1,1
23927,2,4826304,DOWNTOWN /VIA TIDWELL TC,,0,634597,176130,1,1
23927,2,4826310,DOWNTOWN,,0,634596,176131,1,1
23927,2,4826305,DOWNTOWN /VIA TIDWELL TC,,0,634594,176130,1,1
23927,2,4826311,DOWNTOWN,,0,634597,176131,1,1
23927,2,4826306,DOWNTOWN /VIA TIDWELL TC,,0,634595,176130,1,1
23927,2,4826312,DOWNTOWN,,0,634594,176131,1,1
23927,2,4826307,DOWNTOWN /VIA TIDWELL TC,,0,634596,176130,1,1
